marca,modelo,ano,km,preco_numerico,consumo_urbano_km_l,consumo_estrada_km_l,custo_manutencao_anual,confiabilidade,tipo_veiculo_classificado,segmento,codigoFipe,mesReferencia,anoReferencia
ASTON MARTIN,Vantage Coupe 4.7 V8 425cv,2022,34611,805650.0,11.6,15.2,3783,7.6,Hatchback,Premium,085002-0,9,2015
ASTON MARTIN,Vantage Roadster 4.7 V8 420cv,2011,158842,370756.0,11.5,16.9,4336,6.2,Hatchback,Premium,085003-9,4,2018
ASTON MARTIN,Vantage Roadster 4.7 V8 420cv,2022,28662,588954.0,12.8,14.9,3376,6.1,Hatchback,Premium,085003-9,10,2013
ASTON MARTIN,Vantage S 6.0 V12 565cv,2016,140577,986705.0,11.4,13.8,3127,7.5,Hatchback,Premium,085008-0,12,2020
ASTON MARTIN,Vantage S 6.0 V12 565cv,2022,35949,1390000.0,12.0,15.5,4425,8.0,Hatchback,Premium,085008-0,10,2015
ASTON MARTIN,Vantage S Coupe 4.7 V8 430cv,2012,192835,464542.0,13.5,13.7,3428,7.2,Hatchback,Premium,085001-2,3,2018
ASTON MARTIN,Vantage S Coupe 4.7 V8 430cv,2022,28636,680000.0,13.3,16.4,3548,6.9,Hatchback,Premium,085001-2,7,2013
ASTON MARTIN,Virage Coupe 6.0 V12 490cv,2012,185978,700789.0,13.6,15.6,4202,6.5,Hatchback,Premium,085005-5,9,2016
ASTON MARTIN,Virage Coupe 6.0 V12 490cv,2022,27495,940807.0,11.4,16.4,3758,7.8,Hatchback,Premium,085005-5,6,2014
Acura,Integra GS 1.8,1992,398667,13041.0,12.6,16.5,2123,7.0,Hatchback,Popular,038003-2,11,2016
Acura,Legend 3.2/3.5,1998,312616,31067.0,11.2,14.2,2110,6.2,Hatchback,Popular,038002-4,5,2016
Acura,NSX 3.0,1995,497829,52339.0,13.4,13.6,1555,6.6,Hatchback,Popular,038001-6,3,2013
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,2007,245850,78126.0,12.1,15.1,1646,6.9,Hatchback,Popular,060001-6,8,2009
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,31395,82330.0,11.5,16.7,2460,7.0,Hatchback,Médio,060001-6,7,2005
Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,32794,108030.0,12.8,16.9,1807,6.9,Hatchback,Médio,060003-2,6,2008
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,34234,115189.0,13.5,13.7,2377,6.5,Hatchback,Médio,060004-0,7,2008
Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,28782,108826.0,11.7,15.5,1707,6.5,Hatchback,Médio,060005-9,1,2010
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,32967,117454.0,11.9,13.8,2321,6.2,Hatchback,Médio,060006-7,8,2009
Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,34968,120353.0,11.1,15.0,1929,7.6,Hatchback,Médio,060008-3,6,2009
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,25315,111593.0,13.3,14.6,2315,6.5,Hatchback,Médio,060007-5,2,2009
Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,34518,107745.0,11.0,14.8,1762,6.4,Hatchback,Médio,060002-4,10,2009
Alfa Romeo,145 Elegant 1.7/1.8 16V,1999,380715,13109.0,11.3,16.7,1743,6.7,Hatchback,Popular,006009-7,7,2019
Alfa Romeo,145 Elegant 2.0 16V,1998,346483,16717.0,12.6,16.5,2306,7.1,Hatchback,Popular,006001-1,4,2010
Alfa Romeo,145 QV,1996,470373,23602.0,11.3,15.9,1796,6.8,Hatchback,Popular,006008-9,1,2001
Alfa Romeo,145 QV,1998,390280,20345.0,13.8,15.3,2137,6.0,Hatchback,Popular,006008-9,1,2008
Alfa Romeo,145 Quadrifoglio 2.0,1999,392047,14225.0,11.1,15.2,1777,7.3,Hatchback,Popular,006002-0,7,2018
Alfa Romeo,147 2.0 16V 148cv 4p Semi-Aut.,2005,308206,56675.0,11.4,15.8,2272,7.8,Hatchback,Popular,006017-8,10,2021
Alfa Romeo,147 2.0 16V 148cv 4p Semi-Aut.,2022,24762,113285.0,13.3,16.5,1827,7.3,Hatchback,Médio,006017-8,10,2007
Alfa Romeo,155,1997,483338,18450.0,12.4,15.0,1710,7.9,Hatchback,Popular,006003-8,7,2003
Alfa Romeo,155 Super,1997,479729,17375.0,11.6,14.3,2207,7.6,Hatchback,Popular,006004-6,7,2009
Alfa Romeo,156 2.5 V6 24V 190cv 4p Aut.,2003,301810,76974.0,12.3,14.8,2380,6.7,Hatchback,Popular,006015-1,3,2008
Alfa Romeo,156 2.5 V6 24V 190cv 4p Aut.,2022,24655,131768.0,12.7,13.6,2114,6.3,Hatchback,Médio,006015-1,11,2005
Alfa Romeo,156 Sport Wagon 2.0 16V,2002,318063,66268.0,13.4,15.4,2333,6.4,Hatchback,Popular,006014-3,8,2005
Alfa Romeo,156 Sport Wagon 2.0 16V,2022,35363,84475.0,11.3,15.7,2349,7.0,Hatchback,Médio,006014-3,11,2003
Alfa Romeo,156 Sport Wagon 2.5 V6 24V 4p Aut.,2003,318738,96478.0,12.7,15.4,1792,7.6,Hatchback,Médio,006016-0,4,2007
Alfa Romeo,156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,330244,41111.0,12.2,16.9,1828,6.7,Hatchback,Popular,006016-0,7,2017
Alfa Romeo,156 Sport Wagon 2.5 V6 24V 4p Aut.,2022,34461,138602.0,13.9,16.9,1918,6.5,Hatchback,Médio,006016-0,12,2003
Alfa Romeo,156 TS/Sport/Elegant 2.0 16V,2002,360044,29759.0,13.1,16.1,2115,7.3,Hatchback,Popular,006010-0,3,2011
Alfa Romeo,156 TS/Sport/Elegant 2.0 16V,2022,35594,73253.0,13.6,14.4,1594,7.7,Hatchback,Popular,006010-0,10,2001
Alfa Romeo,164 3.0 V6,1996,492822,15314.0,13.9,15.3,1555,7.9,Hatchback,Popular,006005-4,3,2008
Alfa Romeo,164 Super V6 24V,1996,426324,17715.0,12.0,17.0,2077,7.3,Hatchback,Popular,006006-2,5,2012
Alfa Romeo,166 3.0 V6 24V,2003,284275,45420.0,11.3,16.6,2155,8.0,Hatchback,Popular,006011-9,3,2020
Alfa Romeo,166 3.0 V6 24V,2022,30651,139759.0,11.5,14.5,1734,7.5,Hatchback,Médio,006011-9,4,2002
Alfa Romeo,2300 TI/TI-4,1986,485392,6850.0,12.2,13.8,2354,6.7,Hatchback,Popular,006013-5,8,2012
Alfa Romeo,Spider 2.0/3.0,1997,405132,45581.0,13.0,15.4,1570,6.1,Hatchback,Popular,006007-0,8,2009
Asia Motors,Towner Coach Full,1998,463413,7028.0,13.8,15.0,2104,7.3,Hatchback,Popular,007003-3,12,2016
Asia Motors,Towner Furgão,1999,318328,6909.0,11.4,14.6,1997,7.6,Hatchback,Popular,007009-2,12,2009
Asia Motors,Towner Glass Van,1998,356721,9248.0,13.7,15.2,1826,7.1,Hatchback,Popular,007004-1,9,2001
Asia Motors,Towner Luxo,1999,304486,8421.0,11.8,15.2,2190,7.0,Hatchback,Popular,007012-2,8,2008
Asia Motors,Towner Multiuso 5p,1999,396447,3881.0,13.7,16.9,1997,6.3,Hatchback,Popular,007011-4,8,2021
Asia Motors,Towner Panel Van,1997,410253,8094.0,13.1,15.0,1822,7.9,Hatchback,Popular,007005-0,3,2001
Asia Motors,Towner Panel Van,1998,358712,3393.0,13.1,15.7,1674,7.3,Hatchback,Popular,007005-0,7,2019
Asia Motors,Towner Pick-Up,1999,440664,9199.0,11.6,16.2,2411,7.5,Hatchback,Popular,007008-4,6,2004
Asia Motors,Towner SDX / DLX/ STD,1998,387379,7676.0,11.2,14.2,1741,7.4,Hatchback,Popular,007006-8,1,2008
Asia Motors,Towner Super Luxo,1999,397284,7853.0,13.2,15.1,2120,7.2,Hatchback,Popular,007013-0,5,2016
Asia Motors,Towner Truck,1998,388040,7690.0,13.9,16.7,1530,7.8,Hatchback,Popular,007007-6,6,2010
Audi,100 2.8 V6,1995,353919,19431.0,13.3,14.6,6435,7.4,Hatchback,Luxo,008030-6,9,2011
Audi,100 2.8 V6 Avant,1995,470018,26034.0,12.8,15.8,5213,7.6,Hatchback,Luxo,008076-4,7,2009
Audi,100 S-4 2.2 Avant Turbo,1995,462653,19070.0,12.8,16.4,6129,6.9,Hatchback,Luxo,008031-4,9,2014
Audi,80 2.0,1995,372755,14311.0,13.2,14.7,7780,6.1,Hatchback,Luxo,008001-2,10,2018
Audi,80 2.0 Avant,1995,470973,19104.0,12.4,15.3,7738,6.7,Hatchback,Luxo,008077-2,5,2009
Audi,80 2.6/ 2.8,1995,514897,21293.0,11.4,14.9,7048,6.6,Hatchback,Luxo,008080-2,1,2009
Audi,80 2.6/2.8 Avant,1996,436090,23653.0,11.8,14.0,5746,7.3,Hatchback,Luxo,008002-0,3,2022
Audi,80 2.8 Cabriolet,1999,437269,49972.0,11.1,15.4,7755,6.5,Hatchback,Luxo,008003-9,9,2017
Audi,80 S2 Avant,1995,420978,21318.0,13.6,15.8,7007,7.0,Hatchback,Luxo,008004-7,9,2015
Audi,A1 1.4 TFSI 122cv S-tronic 3p,2014,164226,74675.0,13.8,15.1,7014,6.8,Hatchback,Luxo,008153-1,5,2016
Audi,A1 1.4 TFSI 122cv S-tronic 3p,2022,30144,87420.0,14.0,13.6,5624,6.5,Hatchback,Luxo,008153-1,4,2014
Audi,A1 2.0 TFSI Quattro 256cv 3p,2013,133838,147120.0,13.3,16.9,5520,7.6,Hatchback,Luxo,008177-9,4,2020
Audi,A1 2.0 TFSI Quattro 256cv 3p,2022,30298,194245.0,12.7,16.6,7058,7.2,Hatchback,Luxo,008177-9,7,2013
Audi,A1 Sport 1.4 TFSI 185cv 3p S-tronic,2014,164915,80743.0,13.7,14.2,7603,6.9,Hatchback,Luxo,008172-8,12,2015
Audi,A1 Sport 1.4 TFSI 185cv 3p S-tronic,2022,25684,104314.0,11.1,13.7,5747,6.2,Hatchback,Luxo,008172-8,5,2014
Audi,A1 Sport. S Edition 1.4 TFSI 5p S-tronic,2017,89472,109332.0,11.4,15.0,6722,7.8,Hatchback,Luxo,008210-4,8,2018
Audi,A1 Sport. S Edition 1.4 TFSI 5p S-tronic,2022,34759,119542.0,13.2,14.0,6265,6.8,Hatchback,Luxo,008210-4,12,2016
Audi,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,2015,141855,68292.0,12.0,16.7,5612,7.5,Hatchback,Luxo,008174-4,2,2020
Audi,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,2022,35389,113321.0,13.1,16.0,5419,6.4,Hatchback,Luxo,008174-4,11,2015
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,2018,73538,110813.0,13.1,15.4,6976,7.6,Hatchback,Luxo,008173-6,6,2022
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,2022,31816,117120.0,11.2,14.3,5886,7.2,Hatchback,Luxo,008173-6,1,2019
Audi,A1 Sportback 1.8 TFSI 192cv 5p S-tronic,2018,89109,147809.0,12.2,15.7,5343,7.7,Hatchback,Luxo,008204-0,11,2021
Audi,A1 Sportback 1.8 TFSI 192cv 5p S-tronic,2022,29677,129625.0,12.2,13.9,7138,6.1,Hatchback,Luxo,008204-0,1,2018
Audi,A3 1.6 3p,2003,289993,17285.0,12.5,14.2,5494,6.3,Hatchback,Luxo,008032-2,12,2019
Audi,A3 1.6 3p Aut.,2003,290067,18233.0,13.4,15.1,5328,8.0,Hatchback,Luxo,008056-0,6,2019
Audi,A3 1.6 5p,2006,319767,24369.0,13.9,16.6,7715,7.7,Hatchback,Luxo,008040-3,6,2016
Audi,A3 1.6 5p,2022,35190,57234.0,11.1,13.6,6094,6.1,Hatchback,Luxo,008040-3,4,2008
Audi,A3 1.6 5p Aut.,2003,341557,33978.0,13.4,16.0,5656,6.5,Hatchback,Luxo,008057-8,5,2009
Audi,A3 1.6 8V 102cv 3p,2007,222299,59276.0,11.8,16.8,5768,6.3,Hatchback,Luxo,008116-7,12,2010
Audi,A3 1.6 8V 102cv 3p,2022,33078,98104.0,11.9,14.0,7888,6.3,Hatchback,Luxo,008116-7,3,2008
Audi,A3 1.8 3p,2004,249546,21465.0,13.0,15.6,5313,6.1,Hatchback,Luxo,008005-5,10,2016
Audi,A3 1.8 3p Aut.,2004,339893,24134.0,11.7,16.9,7989,6.1,Hatchback,Luxo,008043-8,4,2022
Audi,A3 1.8 5p Aut.,2006,231005,25488.0,13.8,13.7,5383,6.5,Hatchback,Luxo,008042-0,10,2021
Audi,A3 1.8 5p Aut.,2022,31377,64458.0,13.5,16.5,5249,7.5,Hatchback,Luxo,008042-0,8,2008
Audi,A3 1.8 5p Mec.,2006,301241,22635.0,11.4,13.9,7567,7.3,Hatchback,Luxo,008041-1,2,2017
Audi,A3 1.8 5p Mec.,2022,25105,62441.0,12.9,13.8,6046,6.4,Hatchback,Luxo,008041-1,7,2008
Audi,A3 1.8 Turbo 180cv 3p Aut./ Tip.,2003,284948,20033.0,11.0,15.0,6924,6.3,Hatchback,Luxo,008073-0,6,2021
Audi,A3 1.8 Turbo 180cv 3p Mec.,2004,348381,23718.0,13.5,14.9,6504,6.7,Hatchback,Luxo,008074-8,7,2015
Audi,A3 1.8 Turbo 180cv 5p Aut./ Tip.,2006,261924,30600.0,11.6,16.2,5210,6.7,Hatchback,Luxo,008071-3,1,2016
Audi,A3 1.8 Turbo 180cv 5p Aut./ Tip.,2022,33406,87155.0,11.5,14.8,5222,7.2,Hatchback,Luxo,008071-3,2,2008
Audi,A3 1.8 Turbo 180cv 5p Mec.,2006,257471,26022.0,12.8,16.8,5093,6.6,Hatchback,Luxo,008072-1,5,2021
Audi,A3 1.8 Turbo 180cv 5p Mec.,2022,35482,80840.0,11.7,15.6,6304,7.6,Hatchback,Luxo,008072-1,6,2008
Audi,A3 1.8 Turbo 3p Aut.,2003,253952,21144.0,13.3,15.3,5286,7.7,Hatchback,Luxo,008046-2,11,2016
Audi,A3 1.8 Turbo 3p Mec.,2003,374969,40532.0,12.0,15.7,6575,6.1,Hatchback,Luxo,008006-3,1,2008
Audi,A3 1.8 Turbo 3p Mec.,2004,289984,39328.0,12.3,16.5,7801,6.4,Hatchback,Luxo,008006-3,1,2009
Audi,A3 1.8 Turbo 5p Aut.,2006,302194,23576.0,13.0,15.2,6428,6.6,Hatchback,Luxo,008045-4,10,2019
Audi,A3 1.8 Turbo 5p Aut.,2022,26482,80436.0,11.7,16.7,7739,6.9,Hatchback,Luxo,008045-4,3,2008
Audi,A3 1.8 Turbo 5p Mec.,2006,278209,23528.0,12.1,14.8,6305,7.3,Hatchback,Luxo,008044-6,8,2019
Audi,A3 1.8 Turbo 5p Mec.,2022,25193,66374.0,12.1,13.7,7662,6.3,Hatchback,Luxo,008044-6,8,2008
Audi,A3 Cabriolet 1.8 16V TFSI 180cv S-tronic,2016,97873,146771.0,11.5,16.6,7537,7.8,Hatchback,Luxo,008195-7,11,2018
Audi,A3 Cabriolet 1.8 16V TFSI 180cv S-tronic,2022,29011,167774.0,12.0,13.5,7306,7.3,Hatchback,Luxo,008195-7,2,2016
Audi,A3 Cabriolet Ambition 2.0 TFSI S-tronic,2018,106163,186123.0,13.5,16.9,6896,7.5,Hatchback,Luxo,008223-6,1,2021
Audi,A3 Cabriolet Ambition 2.0 TFSI S-tronic,2022,35452,205447.0,13.0,15.0,5479,6.6,Hatchback,Luxo,008223-6,4,2018
Audi,A3 Cabriolet Perfor. 2.0 TFSI S-tronic,2019,63407,186603.0,12.5,14.2,6412,6.8,Hatchback,Luxo,008236-8,11,2020
Audi,A3 Cabriolet Perfor. 2.0 TFSI S-tronic,2022,26469,223492.0,12.6,16.3,7945,7.7,Hatchback,Luxo,008236-8,2,2019
Audi,A3 Sed. Ambition 2.0 TSFI 220cv S-tronic,2018,90164,158011.0,11.3,14.1,7817,6.6,Hatchback,Luxo,008205-8,3,2022
Audi,A3 Sed. Ambition 2.0 TSFI 220cv S-tronic,2022,30794,163990.0,12.5,14.0,7288,7.1,Hatchback,Luxo,008205-8,6,2018
Audi,A3 Sed. P. Plus Tech 1.4 Flex TFSI Tip.,2021,38536,193196.0,12.4,15.0,6386,7.3,Hatchback,Luxo,008255-4,4,2022
Audi,A3 Sed. P. Plus Tech 1.4 Flex TFSI Tip.,2022,25385,167436.0,11.8,15.9,7969,7.8,Hatchback,Luxo,008255-4,8,2020
Audi,A3 Sed. P.Plus 1.4 25Anos Flex TFSI Tip.,2019,60190,132586.0,13.8,15.0,7648,6.8,Hatchback,Luxo,008252-0,7,2021
Audi,A3 Sed. P.Plus 1.4 25Anos Flex TFSI Tip.,2022,25977,128935.0,11.4,15.4,7630,7.5,Hatchback,Luxo,008252-0,3,2021
Audi,A3 Sed. Perform. Black 2.0 TFSI S-tronic,2022,30583,291254.0,11.2,15.0,5514,6.2,Hatchback,Luxo,008256-2,2,2022
Audi,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,2016,143894,84807.0,11.1,15.1,6708,6.9,Hatchback,Luxo,008190-6,3,2021
Audi,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,2022,24866,125310.0,11.4,15.5,6607,7.6,Hatchback,Luxo,008190-6,6,2014
Audi,A3 Sedan 1.4 TFSI Flex Tiptronic 4p,2018,75714,87958.0,12.3,14.1,6205,7.7,Hatchback,Luxo,008203-1,11,2020
Audi,A3 Sedan 1.4 TFSI Flex Tiptronic 4p,2022,24920,112930.0,12.5,15.5,6880,7.4,Hatchback,Luxo,008203-1,12,2016
Audi,A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic,2016,122207,73438.0,12.9,13.7,7119,7.1,Hatchback,Luxo,008192-2,10,2019
Audi,A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic,2022,24263,103290.0,13.5,16.2,5881,7.4,Hatchback,Luxo,008192-2,3,2017
Audi,A3 Sedan Performance 2.0 TFSI S-tronic,2020,62422,206255.0,11.0,16.5,5685,7.7,Hatchback,Luxo,008237-6,8,2022
Audi,A3 Sedan Performance 2.0 TFSI S-tronic,2022,33648,188169.0,11.8,16.4,5754,7.1,Hatchback,Luxo,008237-6,9,2020
Audi,A3 Sedan Prestige 1.4 TFSI Flex Tip.,2021,44933,154958.0,11.8,15.4,6627,6.2,Hatchback,Luxo,008234-1,4,2022
Audi,A3 Sedan Prestige 1.4 TFSI Flex Tip.,2022,27739,126241.0,11.8,14.7,7269,7.7,Hatchback,Luxo,008234-1,5,2020
Audi,A3 Sedan Prestige Plus 1.4 TFSI Flex Tip,2021,36219,180732.0,12.5,14.3,5512,7.0,Hatchback,Luxo,008235-0,5,2022
Audi,A3 Sedan Prestige Plus 1.4 TFSI Flex Tip,2022,30416,141521.0,12.6,16.5,5789,7.4,Hatchback,Luxo,008235-0,4,2020
Audi,A3 Sedan S-Line 2.0 TFSI  S-Tronic/Hib.,2022,29531,269913.0,11.9,16.3,5010,7.2,Hatchback,Luxo,008279-1,8,2022
Audi,A3 Sedan S-Line Limited 1.4 TFSI Tiptro.,2022,27040,248548.0,11.9,15.9,6645,6.3,Hatchback,Luxo,008277-5,6,2022
Audi,A3 Sport 1.8 16V TFSI S-tronic 3p,2014,177197,76028.0,11.8,15.8,6926,7.3,Hatchback,Luxo,008181-7,11,2017
Audi,A3 Sport 1.8 16V TFSI S-tronic 3p,2022,35024,116938.0,13.1,15.1,6690,8.0,Hatchback,Luxo,008181-7,11,2014
Audi,A3 Sport 2.0 16V TFSI S- tronic,2013,161667,69208.0,11.8,15.1,6487,7.4,Hatchback,Luxo,008138-8,6,2021
Audi,A3 Sport 2.0 16V TFSI S- tronic,2022,30957,113526.0,11.8,13.9,6199,6.0,Hatchback,Luxo,008138-8,5,2012
Audi,A3 Sportb. Perf. Black 2.0 TFSI S-tronic,2022,25807,292440.0,12.6,15.6,6869,6.1,Hatchback,Luxo,008275-9,4,2022
Audi,A3 Sportb. Prestige Plus 1.4 TFSI S-tron,2020,54273,168924.0,11.8,15.5,5445,7.3,Hatchback,Luxo,008233-3,4,2022
Audi,A3 Sportb. Prestige Plus 1.4 TFSI S-tron,2022,29006,167120.0,11.9,15.5,7721,6.1,Hatchback,Luxo,008233-3,9,2021
Audi,A3 Sportb. S-Line Limited 1.4 TFSI Tip.,2022,27260,249815.0,12.2,14.6,7402,6.0,Hatchback,Luxo,008276-7,6,2022
Audi,A3 Sportback 1.4 TFSI S-tronic,2018,105233,106146.0,11.9,17.0,6042,7.2,Hatchback,Luxo,008184-1,4,2020
Audi,A3 Sportback 1.4 TFSI S-tronic,2022,30795,115823.0,12.0,13.6,5153,7.3,Hatchback,Luxo,008184-1,9,2015
Audi,A3 Sportback 1.6 8V 102cv 5p,2010,186146,70714.0,13.2,14.0,6504,7.8,Hatchback,Luxo,008117-5,11,2013
Audi,A3 Sportback 1.6 8V 102cv 5p,2022,30056,109155.0,12.5,13.7,6454,7.4,Hatchback,Luxo,008117-5,7,2008
Audi,A3 Sportback 1.8 16V TFSI S-tronic 5p,2016,112776,90843.0,13.0,15.4,6135,7.2,Hatchback,Luxo,008185-0,7,2019
Audi,A3 Sportback 1.8 16V TFSI S-tronic 5p,2022,29584,148746.0,12.5,14.5,6027,7.6,Hatchback,Luxo,008185-0,3,2017
Audi,A3 Sportback 2.0 16V TFSI Mec.,2011,227510,55786.0,13.9,14.2,6865,7.6,Hatchback,Luxo,008118-3,8,2017
Audi,A3 Sportback 2.0 16V TFSI Mec.,2022,24019,138166.0,13.8,16.0,5866,6.4,Hatchback,Luxo,008118-3,2,2008
Audi,A3 Sportback 2.0 16V TFSI S-tronic,2013,156847,59652.0,12.7,16.6,7137,6.3,Hatchback,Luxo,008119-1,9,2020
Audi,A3 Sportback 2.0 16V TFSI S-tronic,2022,30151,122969.0,11.7,14.9,6814,6.3,Hatchback,Luxo,008119-1,6,2014
Audi,A3 Sportback S-Line 2.0 TFSI S-Tronic,2022,34717,271902.0,11.8,15.3,7695,6.7,Hatchback,Luxo,008278-3,7,2022
Audi,A4 1.8  Aut.,2001,389193,22075.0,12.3,15.0,5764,6.5,Hatchback,Luxo,008047-0,6,2017
Audi,A4 1.8  Mec.,2001,341425,18594.0,11.9,16.6,6879,7.2,Hatchback,Luxo,008007-1,4,2017
Audi,A4 1.8 Avant Aut.,2001,311173,22568.0,13.8,16.9,7871,8.0,Hatchback,Luxo,008048-9,8,2021
Audi,A4 1.8 Avant Mec.,2001,397174,28863.0,11.0,14.7,5445,7.6,Hatchback,Luxo,008009-8,5,2011
Audi,A4 1.8 Avant Turbo Mec.,2001,387174,24344.0,12.1,15.4,7034,7.6,Hatchback,Luxo,008010-1,5,2016
Audi,A4 1.8 Avant Turbo Tip./ Multitronic,2008,213016,81381.0,11.5,16.1,7999,7.9,Hatchback,Luxo,008049-7,11,2011
Audi,A4 1.8 Avant Turbo Tip./ Multitronic,2016,135534,116533.0,13.4,13.9,5506,6.5,Hatchback,Luxo,008049-7,3,2022
Audi,A4 1.8 Avant Turbo Tip./ Multitronic,2022,28760,160709.0,11.9,14.6,7984,7.1,Hatchback,Luxo,008049-7,1,2009
Audi,A4 1.8 Tip./ Multitronic Turbo,2008,198643,57306.0,12.3,13.7,6864,7.9,Hatchback,Luxo,008008-0,7,2014
Audi,A4 1.8 Tip./ Multitronic Turbo,2016,123131,91596.0,11.3,14.5,5044,7.8,Hatchback,Luxo,008008-0,6,2019
Audi,A4 1.8 Tip./ Multitronic Turbo,2022,27776,141844.0,12.0,15.5,7123,7.9,Hatchback,Luxo,008008-0,8,2009
Audi,A4 1.8 Turbo,2001,284453,20903.0,12.6,16.4,7054,7.5,Hatchback,Luxo,008070-5,11,2017
Audi,A4 2.0 16V TFSI 183/180cv Multitronic,2014,122241,78234.0,12.9,15.1,7333,7.0,Hatchback,Luxo,008132-9,10,2018
Audi,A4 2.0 16V TFSI 183/180cv Multitronic,2022,34528,131508.0,11.5,16.7,6062,6.9,Hatchback,Luxo,008132-9,2,2015
Audi,A4 2.0 16V TFSI 200/ 214cv Multitronic,2011,214966,57617.0,11.0,13.6,7784,7.9,Hatchback,Luxo,008120-5,10,2019
Audi,A4 2.0 16V TFSI 200/ 214cv Multitronic,2022,29953,183278.0,13.9,15.7,6751,7.0,Hatchback,Luxo,008120-5,1,2011
Audi,A4 2.0 16V TFSI Quattro Stronic,2014,168646,79581.0,13.5,13.8,7488,7.5,Hatchback,Luxo,008170-1,5,2021
Audi,A4 2.0 16V TFSI Quattro Stronic,2022,27105,174200.0,13.2,16.3,7029,6.5,Hatchback,Luxo,008170-1,8,2014
Audi,A4 2.0 20V 130cv Multitronic 4p,2003,373890,37844.0,13.3,14.0,7617,8.0,Hatchback,Luxo,008101-9,9,2011
Audi,A4 2.0 Avant 16V TFSI Quattro Stronic,2014,141402,100198.0,12.9,16.5,5829,7.0,Hatchback,Luxo,008171-0,12,2020
Audi,A4 2.0 Avant 16V TFSI Quattro Stronic,2022,29681,174835.0,13.3,14.6,6480,6.1,Hatchback,Luxo,008171-0,1,2015
Audi,A4 2.0 Avant Ambie. 2.0 16V TFSi S tron.,2018,73719,136391.0,13.1,15.1,7478,7.2,Hatchback,Luxo,008211-2,6,2020
Audi,A4 2.0 Avant Ambie. 2.0 16V TFSi S tron.,2022,34576,192970.0,11.1,15.8,5057,7.0,Hatchback,Luxo,008211-2,7,2017
Audi,A4 2.0 Avant TFSI 183/180cv Multitroni,2014,150558,84845.0,11.8,16.8,7195,6.6,Hatchback,Luxo,008133-7,12,2021
